f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,label
170.39,167.28,143.44,124.67,139.01,125.83,144.33,151.26,175.51,171.31,161.9,146.92,141.8,140.91,132.8,128.48,170.83,161.06,169.61,168.07,154.88,149.33,152.91,152.61,137.09,169.59,183.01,180.44,164.55,152.63,157.77,165.07,149.52,142.73,173.85,182.23,174.58,163.28,164.01,169.2,148.48,134.31,174.07,191.33,157.51,168.66,156.89,170.86,162.24,184.84,167.02,123.67,140.54,153.69,147.57,144.65,162.24,172.96,169.67,157.51,161.06,133.23,124.41,138.44,142.93,137.13,134.44,0
169.75,190.96,175.53,138.27,137.47,139.23,133.23,130.25,147.73,163.93,167.36,171.52,155.54,139.34,151.95,149.3,173.37,141,153.57,128.45,159.93,165.33,147.94,143.74,140.88,182.53,184.08,148.09,125.26,139.67,138.7,132.86,141.5,145.4,164.58,170.71,127.83,133.99,141.2,152.87,142.36,148.26,162.54,156.55,153.39,137.99,129.64,137.59,155.39,147.92,152.14,162.48,168.72,161.14,147.87,141.02,155.39,139.58,141.58,153.39,141,148.43,168.12,169.9,165.64,166.86,137.69,0
153.69,153.68,144.02,158.73,178.87,157.04,152.92,147.52,142.87,165.26,160.39,137.86,149.62,153.43,152.6,162.85,146.35,167.11,134.27,126.81,136.28,158.4,171.58,161.6,162.91,143.14,129.73,125.97,151.09,177.89,169.2,160.65,156.86,135.66,126.92,131.22,154.37,158.59,158.52,155.25,154.33,130.18,127.66,148.94,155.37,163.53,139.7,143.79,141.61,166.88,164.6,149.58,139.56,154.74,173.01,155.18,141.61,155.19,170.51,155.37,167.11,146.89,141.01,159.43,169.68,163.24,165.17,0
131.69,151.56,151.05,134,151.18,175.53,171.34,159.77,151.95,146.1,148.53,140.28,138.16,145.44,150.4,158.18,163.8,152.43,171.49,150.2,131.28,157.18,157.04,151.13,151.66,143.32,157.23,152.91,134.75,154.65,171.65,160.3,157.73,143.67,145.87,151.73,147.09,151.21,157.96,148.5,156.6,147.45,153.18,156.58,157.83,147.98,143.47,142.83,138.08,147.91,148.05,145.66,156.5,167.52,151.33,129.51,138.08,164.25,155.82,157.83,152.43,150.82,146.58,128.85,140.76,177.35,174.61,0
162.85,158.88,132.27,138.41,143.98,159.3,177.26,180.58,159.34,164.66,138.04,132.76,157.88,165.58,173.64,163.5,127.97,167.31,141.39,147.02,137.52,135.46,146.41,159.09,164.53,148.45,130.76,136.22,144.86,127.38,137.09,159.08,153.25,182.49,187.75,139.37,117.12,124.07,134.6,144.85,132.64,170.87,188.26,173.32,135.74,127.15,131.69,127.8,149.46,114.16,100.11,154.02,175.3,175.46,144.39,142.47,149.46,132.8,130.96,135.74,167.31,188.21,179.52,146.2,153.73,152.12,146.58,0
132.05,149.12,165.08,170.62,162.19,157.1,145.86,149.52,162.84,149.5,138.86,140.41,156.82,171.41,158.94,153.78,176.64,137.61,169.6,149.55,138.69,142.72,172.72,172.08,156.74,154.95,155.39,152.42,146.35,141.2,150.94,154.63,150.24,140.62,144.13,159.41,148.12,149.68,139.02,121.29,132.76,161.71,157.6,165.57,142.59,151.45,153.89,152.43,153.07,139.58,131.01,155.6,157.89,162.75,153.9,145.37,153.07,147.36,140.65,142.59,137.61,157.63,152.16,140.43,142.32,142.06,154.87,0
153.59,142.25,157.33,156.08,149.33,162.97,150.25,146.47,145.99,137.82,152.9,161.64,150.23,170.7,185.03,174.97,126.8,154.72,140.58,158.21,163.89,159.1,178.79,181.28,188.27,105.94,127.84,152.78,161.62,163.97,179.15,180.57,179.18,127.12,121.63,142.36,149.33,158.32,181.72,184.42,175.92,141.72,121.99,130.39,174.9,124.85,137.45,164.72,144.44,165.39,157.7,162.63,154.26,159.03,143.8,125.68,144.44,159.71,149.75,174.9,154.72,162.83,162.37,162.75,168.6,170.81,168.1,0
167.68,153.49,149.19,148.71,166.03,167.04,153.06,157.48,133.57,143.66,167.27,172.45,179.8,169.15,150.5,152.77,127.77,147.58,127.63,143.08,167.35,176.35,165.35,168.15,168.1,129.51,129.52,142.58,161.59,167.7,162.09,167.67,170.75,125.04,126.4,161.1,164.27,155.41,160.66,172.89,177.24,157.48,143.26,166.09,145.76,167.91,157.71,161.01,155.85,169.13,159.15,160.73,156.99,152.19,168.29,171.96,155.85,150.72,154.01,145.76,147.58,145.01,164.87,157.2,147.07,162.98,167.99,0
136.48,130.02,131.72,152.04,163.03,172.93,170.11,165.2,166.41,120.67,119.02,135.76,147.52,164.59,176.47,168.61,166.5,121.19,133.17,111.33,114.23,127.57,155.83,178.35,186.52,168.26,149.86,131.02,140.33,135.15,145.21,164.04,173.8,153.96,122.81,125.75,156.86,164.41,151.03,154.61,163.85,151.98,120.14,131.17,142.04,161.46,158.05,143.62,142.59,146.69,167.86,144.87,119.45,140.61,173.71,158.99,142.59,145.14,162,142.04,121.19,124.21,145.11,142.15,148.38,142.86,154.15,0
145.96,140.31,126.34,113.12,118.66,140.33,139.9,139.51,168.7,149.54,149.38,147.88,129.45,143.81,131.18,120.76,172.49,125.42,152.75,148.41,153.47,139.24,138.86,143.44,117.8,156.93,145.75,133.26,146.65,162.72,156.35,131.51,136.35,151.53,143.73,127.52,140.33,168.8,163.12,136.13,150.21,148.94,173.1,158.82,121.89,137.21,154.26,160.58,158.22,142.27,141.34,148.79,165.43,159.23,133.41,127.64,158.22,171.77,152.2,121.89,125.42,146.03,142.27,127.53,141.77,160.67,159.55,0
131.08,123.3,147.32,150.99,150.73,148.27,153.97,157.52,150.63,128.4,130.98,150.6,151.69,146.12,149.59,151.13,154.85,132.31,137.14,127.62,146.97,169.75,160.01,139.66,141.75,158.54,138.92,121.23,146.58,169.25,175.82,147.34,128.13,158.66,154.84,144.35,136.65,149.27,160.83,160.91,150.35,150.83,159.05,163.31,152.21,139.75,127.36,148.5,144.47,161.2,168.04,139.54,145.78,166.94,171.16,139.78,144.47,147.18,151.55,152.21,132.31,145.23,157.13,140.92,147.71,148.99,133.01,0
170.6,147.29,151.48,149.29,137.6,162.15,171.54,131.15,165.84,141.37,143.72,138.37,129.1,160.41,176.05,152.46,160.52,117.99,136.5,146.47,145.48,131.87,132.53,160.99,189.26,101.69,127.85,156.48,158.83,153.49,141.97,140.4,159.35,111.25,125.93,147.81,152.36,152.61,160.3,156.71,157.57,112.11,119.66,133.19,111.65,158.45,154.9,141.59,148.74,151.58,155.09,112.38,111.84,131.46,153.17,166.85,148.74,145.18,136.53,111.65,117.99,152.51,159.88,159.92,152.25,151.55,141.02,0
139.11,131.09,135.86,138.26,139.32,129.36,127.15,128.16,140.02,151.06,168.77,156.14,128.71,110.57,117.96,149.47,152.53,170.24,144.81,140.53,150.9,165.09,157.8,134.86,146.87,176.11,164.13,122.04,133.73,158.68,163.7,162.4,158.72,165.85,181.1,154.54,130.37,129.67,140.72,163.67,169.98,160.5,162.5,163.92,166.09,145.86,136.89,156.17,166.72,171.61,167.91,178.6,152.63,133.9,143.11,153.72,166.72,165.04,158.55,166.09,170.24,144.19,135.49,144.69,153.24,131.67,117.37,0
153.41,173.65,168.81,143.56,130.35,128.61,138.26,132.69,142.4,157.31,147.23,164.19,175.49,153.2,153.59,166.74,111.07,159.85,129.01,152.8,175.52,186.62,179.57,153.89,141.62,96.53,100.91,140.51,160.43,171.33,182.99,162.98,128.94,116.01,105.96,124.88,142.78,149.17,150.59,157.12,159.55,111.88,119.26,140.33,140.55,146.15,130.83,117.82,146.49,138.18,147.39,122.2,140.78,158.52,154.32,149.13,146.49,145.82,136.5,140.55,159.85,159.91,148.56,136.89,148.33,156.47,132.78,0
118.62,141.01,152.81,168.03,141.41,124.15,138.97,136.46,111.73,147.31,160.7,160.62,153.6,132.28,135.9,145.14,118.33,182.1,147.02,170.83,157.46,155.74,146.09,132.31,137.03,121.4,122.18,146.66,156.96,138.06,125.38,116.72,126.98,167.67,139.29,136.53,159.33,157.86,136.33,113.62,116.62,166.38,148.29,139.72,173.09,158.67,148.09,136.92,147.42,148.63,153.49,168.41,161.82,121.14,126.32,135.11,147.42,160.77,155.34,173.09,182.1,144.64,136.93,148.17,143.57,142.49,134.53,0
